"docket_number","filing_year","total_amici","petition_granted"
"18-1465",2018,0,0
"18-1466",2018,1,0
"18-1467",2018,0,0
"18-1468",2018,0,0
"18-1469",2018,1,0
"18-147",2018,0,0
"18-1470",2018,0,0
"18-1471",2018,0,0
"18-1472",2018,0,0
"18-1473",2018,0,0
"18-1474",2018,1,0
"18-1475",2018,0,1
"18-1476",2018,0,0
"18-1477",2018,6,0
"18-1478",2018,0,0
"18-1479",2018,0,0
"18-148",2018,0,0
"18-1480",2018,0,0
"18-1481",2018,0,0
"18-1482",2018,0,0
"18-1483",2018,0,0
"18-1484",2018,0,0
"18-1485",2018,0,0
"18-1486",2018,0,0
"18-1487",2018,1,0
"18-1488",2018,0,0
"18-1489",2018,0,0
"18-149",2018,4,0
"18-1490",2018,0,0
"18-1491",2018,0,0
"18-1492",2018,3,0
"18-1493",2018,0,0
"18-1494",2018,0,0
"18-1495",2018,0,0
"18-1496",2018,0,1
"18-1497",2018,0,0
"18-1498",2018,0,0
"18-1499",2018,0,0
"18-15",2018,33,1
"18-150",2018,0,0
"18-1500",2018,0,0
"18-1501",2018,19,1
"18-1502",2018,0,0
"18-1503",2018,0,0
"18-1504",2018,0,0
"18-1505",2018,0,0
"18-1506",2018,0,0
"18-1507",2018,0,0
"18-1508",2018,0,0
"18-1509",2018,0,0
"18-151",2018,0,0
"18-1510",2018,0,0
"18-1511",2018,0,0
"18-1512",2018,0,0
"18-1513",2018,0,0
"18-1514",2018,0,1
"18-1515",2018,3,0
"18-1516",2018,8,0
"18-1517",2018,0,0
"18-1518",2018,0,0
"18-1519",2018,0,0
"18-152",2018,0,0
"18-1520",2018,0,0
"18-1521",2018,0,1
"18-1522",2018,0,0
"18-1523",2018,0,0
"18-1524",2018,0,0
"18-1525",2018,0,0
"18-1526",2018,0,0
"18-1527",2018,0,0
"18-1528",2018,0,0
"18-1529",2018,0,0
"18-153",2018,1,0
"18-1530",2018,0,0
"18-1531",2018,1,0
"18-1532",2018,0,0
"18-1533",2018,0,0
"18-1534",2018,0,0
"18-1535",2018,0,0
"18-1536",2018,0,0
"18-1537",2018,0,0
"18-1538",2018,4,0
"18-1539",2018,5,0
"18-154",2018,0,0
"18-1540",2018,0,0
"18-1541",2018,0,0
"18-1542",2018,0,0
"18-1543",2018,0,0
"18-1544",2018,0,0
"18-1545",2018,2,0
"18-1546",2018,0,0
"18-1547",2018,0,0
"18-1548",2018,0,0
"18-1549",2018,0,0
"18-155",2018,0,0
"18-1550",2018,0,0
"18-1551",2018,0,0
"18-1552",2018,0,0
"18-1553",2018,0,0
"18-1554",2018,1,0
"18-1555",2018,0,0
"18-1556",2018,0,0
"18-1557",2018,0,0
"18-1558",2018,0,0
"18-1559",2018,0,0
"18-156",2018,0,0
"18-1560",2018,0,0
"18-1561",2018,0,0
"18-1562",2018,0,0
"18-1563",2018,0,0
"18-1564",2018,0,0
"18-1565",2018,0,0
"18-1566",2018,1,0
"18-1567",2018,0,0
"18-1568",2018,0,0
"18-1569",2018,0,0
"18-157",2018,0,0
"18-1570",2018,5,0
"18-1571",2018,0,0
"18-1572",2018,0,0
"18-1573",2018,0,0
"18-1574",2018,0,0
"18-1575",2018,0,0
"18-1576",2018,0,0
"18-1577",2018,0,0
"18-1578",2018,2,0
"18-1579",2018,0,0
"18-158",2018,0,0
"18-1580",2018,0,0
"18-1581",2018,0,0
"18-1582",2018,0,0
"18-1583",2018,0,0
"18-1584",2018,21,1
"18-1585",2018,0,0
"18-1586",2018,0,0
"18-1587",2018,5,1
"18-1588",2018,0,0
"18-1589",2018,0,0
"18-159",2018,0,0
"18-1590",2018,0,0
"18-1591",2018,0,0
"18-1592",2018,0,0
"18-1593",2018,0,0
"18-16",2018,0,0
"18-160",2018,0,0
"18-161",2018,0,0
"18-162",2018,0,0
"18-163",2018,0,0
"18-164",2018,2,0
"18-165",2018,0,0
"18-166",2018,0,0
"18-167",2018,0,0
"18-168",2018,0,0
"18-169",2018,0,0
"18-17",2018,0,0
"18-170",2018,0,0
"18-171",2018,0,0
"18-172",2018,0,0
"18-173",2018,0,0
"18-174",2018,0,0
"18-175",2018,0,0
"18-176",2018,0,0
"18-177",2018,0,0
"18-178",2018,0,0
"18-179",2018,0,0
"18-18",2018,20,1
"18-180",2018,0,0
"18-181",2018,0,0
"18-182",2018,0,0
"18-183",2018,2,0
"18-184",2018,0,0
"18-185",2018,1,0
"18-186",2018,0,0
"18-187",2018,0,0
"18-188",2018,0,0
"18-189",2018,0,0
"18-19",2018,0,0
"18-190",2018,0,0
"18-191",2018,1,0
"18-192",2018,0,0
"18-193",2018,0,0
"18-194",2018,0,0
"18-195",2018,0,0
"18-196",2018,0,0
"18-197",2018,0,0
"18-198",2018,0,0
"18-199",2018,0,0
"18-2",2018,3,0
"18-20",2018,0,0
"18-200",2018,0,0
"18-201",2018,0,0
"18-202",2018,0,0
"18-203",2018,5,0
"18-204",2018,0,0
"18-205",2018,0,0
"18-206",2018,0,0
"18-207",2018,0,0
"18-208",2018,0,0
"18-209",2018,0,0
"18-21",2018,0,0
"18-210",2018,0,0
"18-211",2018,0,0
"18-212",2018,1,0
"18-213",2018,0,0
"18-214",2018,0,0
"18-215",2018,0,0
"18-216",2018,0,0
"18-217",2018,13,1
"18-218",2018,0,0
"18-219",2018,0,0
"18-22",2018,0,0
"18-220",2018,0,0
"18-221",2018,0,0
"18-222",2018,0,0
"18-223",2018,0,0
"18-224",2018,0,0
"18-225",2018,1,0
"18-226",2018,2,0
"18-227",2018,0,0
"18-228",2018,0,0
"18-229",2018,0,0
"18-23",2018,0,0
"18-230",2018,0,0
"18-231",2018,0,0
"18-232",2018,0,0
"18-233",2018,0,0
"18-234",2018,0,0
"18-235",2018,0,0
"18-236",2018,0,0
"18-237",2018,0,0
"18-238",2018,0,0
"18-239",2018,0,0
"18-24",2018,0,0
"18-240",2018,0,0
"18-241",2018,0,0
"18-242",2018,0,0
"18-243",2018,0,0
"18-244",2018,0,0
"18-245",2018,0,0
"18-246",2018,0,0
"18-247",2018,2,0
"18-248",2018,0,0
"18-249",2018,0,0
"18-25",2018,0,0
"18-250",2018,0,0
"18-251",2018,0,0
"18-252",2018,0,0
"18-253",2018,0,0
"18-254",2018,0,0
"18-255",2018,0,0
"18-256",2018,0,0
"18-257",2018,0,0
"18-258",2018,0,0
"18-259",2018,0,0
"18-26",2018,0,0
"18-260",2018,33,1
"18-261",2018,0,0
"18-262",2018,0,0
"18-263",2018,0,0
"18-264",2018,0,0
"18-265",2018,0,0
"18-266",2018,18,1
"18-267",2018,0,0
"18-268",2018,5,0
"18-269",2018,0,0
"18-27",2018,0,0
"18-270",2018,0,0
"18-271",2018,0,0
"18-272",2018,2,0
"18-273",2018,0,0
"18-274",2018,0,0
"18-275",2018,0,0
"18-276",2018,0,0
"18-277",2018,0,0
"18-278",2018,0,0
"18-279",2018,0,0
"18-28",2018,0,0
"18-280",2018,46,1
"18-281",2018,5,1
"18-282",2018,0,0
"18-283",2018,0,0
"18-284",2018,0,0
"18-285",2018,0,0
"18-286",2018,0,0
"18-287",2018,0,0
"18-288",2018,3,0
"18-289",2018,0,0
"18-29",2018,0,0
"18-290",2018,0,0
"18-291",2018,0,0
"18-292",2018,0,0
"18-293",2018,0,0
"18-294",2018,0,0
"18-295",2018,0,0
"18-296",2018,0,0
"18-297",2018,1,0
"18-298",2018,0,0
"18-299",2018,0,0
"18-3",2018,0,0
"18-30",2018,0,0
"18-300",2018,2,0
"18-301",2018,4,0
"18-302",2018,10,1
"18-303",2018,0,0
"18-304",2018,0,0
"18-305",2018,0,0
"18-306",2018,0,0
"18-307",2018,4,0
"18-308",2018,3,0
"18-309",2018,1,0
"18-31",2018,0,0
"18-310",2018,0,0
"18-311",2018,2,0
"18-312",2018,0,0
"18-313",2018,0,0
"18-314",2018,1,0
"18-315",2018,10,1
"18-316",2018,0,0
"18-317",2018,0,0
"18-318",2018,0,0
"18-319",2018,0,0
"18-32",2018,0,0
"18-320",2018,0,0
"18-321",2018,1,0
"18-322",2018,0,0
"18-323",2018,0,0
"18-324",2018,3,0
"18-325",2018,0,0
"18-326",2018,0,0
"18-327",2018,0,0
"18-328",2018,7,1
"18-329",2018,0,0
"18-33",2018,0,0
"18-330",2018,0,0
"18-331",2018,1,0
"18-332",2018,0,0
"18-333",2018,1,0
"18-334",2018,0,0
"18-335",2018,0,0
"18-336",2018,0,0
"18-337",2018,2,0
"18-338",2018,0,0
"18-339",2018,1,0
"18-34",2018,0,0
"18-340",2018,1,0
"18-341",2018,0,0
"18-342",2018,0,0
"18-343",2018,0,0
"18-344",2018,0,0
"18-345",2018,0,0
"18-346",2018,0,0
"18-347",2018,0,0
"18-348",2018,0,0
"18-349",2018,6,0
"18-35",2018,0,0
"18-350",2018,0,0
"18-351",2018,5,0
"18-352",2018,0,0
"18-353",2018,0,0
"18-354",2018,0,0
"18-355",2018,9,0
"18-356",2018,0,0
"18-357",2018,0,0
"18-358",2018,0,0
"18-359",2018,2,0
"18-36",2018,0,0
"18-360",2018,0,0
"18-361",2018,0,0
"18-362",2018,0,0
"18-363",2018,0,0
"18-364",2018,2,0
"18-365",2018,0,0
"18-366",2018,0,0
"18-367",2018,0,0
"18-368",2018,0,0
"18-369",2018,0,0
"18-37",2018,1,0
"18-370",2018,0,0
"18-371",2018,0,0
"18-372",2018,0,0
"18-373",2018,0,0
"18-374",2018,0,0
"18-375",2018,0,0
"18-376",2018,0,0
"18-377",2018,1,0
"18-378",2018,2,0
"18-379",2018,0,0
"18-38",2018,0,0
"18-380",2018,0,0
"18-381",2018,0,0
"18-382",2018,0,0
"18-383",2018,0,0
"18-384",2018,1,0
"18-385",2018,0,0
"18-386",2018,1,0
"18-387",2018,0,0
"18-388",2018,0,0
"18-389",2018,8,1
"18-39",2018,0,0
"18-390",2018,0,0
"18-391",2018,1,0
"18-392",2018,0,0
"18-393",2018,0,0
"18-394",2018,1,0
"18-395",2018,2,0
"18-396",2018,2,0
"18-397",2018,0,0
"18-398",2018,2,0
"18-399",2018,0,0
"18-4",2018,0,0
"18-40",2018,2,0
"18-400",2018,0,0
"18-401",2018,0,0
"18-402",2018,0,0
"18-403",2018,1,0
"18-404",2018,4,0
"18-405",2018,0,0
"18-406",2018,1,0
"18-407",2018,0,0
"18-408",2018,0,0
"18-409",2018,0,0
"18-41",2018,0,0
"18-410",2018,0,0
"18-411",2018,0,0
"18-412",2018,0,0
"18-413",2018,0,0
"18-414",2018,0,0
"18-415",2018,7,0
"18-416",2018,0,0
"18-417",2018,2,0
"18-418",2018,0,0
"18-419",2018,0,0
"18-42",2018,3,0
"18-420",2018,0,0
"18-421",2018,0,0
"18-422",2018,40,1
"18-423",2018,0,0
"18-424",2018,0,0
"18-425",2018,0,0
"18-426",2018,0,0
"18-427",2018,0,0
"18-428",2018,0,0
"18-429",2018,0,0
"18-43",2018,0,0
"18-430",2018,0,0
"18-431",2018,3,1
"18-432",2018,0,0
"18-433",2018,0,0
"18-434",2018,0,0
"18-435",2018,0,0
"18-436",2018,1,0
"18-437",2018,0,0
"18-438",2018,0,0
"18-439",2018,0,0
"18-44",2018,0,0
"18-440",2018,0,0
"18-441",2018,1,0
"18-442",2018,0,0
"18-443",2018,3,0
"18-444",2018,3,0
"18-445",2018,0,0
"18-446",2018,0,0
"18-447",2018,2,0
"18-448",2018,0,0
"18-449",2018,0,0
"18-45",2018,0,0
"18-450",2018,8,0
"18-451",2018,1,0
"18-452",2018,0,0
"18-453",2018,0,0
"18-454",2018,1,0
"18-455",2018,0,0
"18-456",2018,0,0
"18-457",2018,14,1
"18-458",2018,0,0
"18-459",2018,11,1
"18-46",2018,1,0
"18-460",2018,0,0
"18-461",2018,0,0
"18-462",2018,0,0
"18-463",2018,0,0
"18-464",2018,0,0
"18-465",2018,0,0
"18-466",2018,0,0
"18-467",2018,0,0
"18-468",2018,1,0
"18-469",2018,0,0
"18-47",2018,0,0
"18-470",2018,0,0
"18-471",2018,0,0
"18-472",2018,1,0
"18-473",2018,0,0
"18-474",2018,0,0
"18-475",2018,0,0
"18-476",2018,0,0
"18-477",2018,0,0
"18-478",2018,0,0
"18-479",2018,0,0
"18-48",2018,0,0
"18-480",2018,0,0
"18-481",2018,20,1
"18-482",2018,0,0
"18-483",2018,14,0
"18-484",2018,0,0
"18-485",2018,14,1
"18-486",2018,9,0
"18-487",2018,0,0
"18-488",2018,0,0
"18-489",2018,8,1
"18-49",2018,0,0
"18-490",2018,0,0
"18-491",2018,0,0
"18-492",2018,0,0
"18-493",2018,0,0
"18-494",2018,0,0
"18-495",2018,0,0
"18-496",2018,0,0
"18-497",2018,0,0
"18-498",2018,0,0
"18-499",2018,0,0
"18-5",2018,0,0
"18-50",2018,3,0
"18-500",2018,3,0
"18-5001",2018,0,0
"18-5002",2018,0,0
"18-5003",2018,0,0
"18-5004",2018,0,0
"18-5005",2018,0,0
"18-5006",2018,0,0
"18-5007",2018,0,0
"18-5008",2018,0,0
"18-5009",2018,0,0
"18-501",2018,0,0
"18-5010",2018,0,0
"18-5011",2018,0,0
"18-5012",2018,0,0
"18-5013",2018,0,0
"18-5014",2018,0,0
"18-5015",2018,0,0
"18-5016",2018,0,0
"18-5017",2018,0,0
"18-5018",2018,0,0
"18-5019",2018,0,0
"18-502",2018,0,0
"18-5020",2018,0,0
"18-5021",2018,0,0
"18-5022",2018,0,0
"18-5023",2018,0,0
"18-5024",2018,0,0
"18-5025",2018,0,0
"18-5026",2018,0,0
"18-5027",2018,0,0
"18-5028",2018,0,0
"18-5029",2018,0,0
"18-503",2018,0,0
"18-5030",2018,0,0
"18-5031",2018,0,0
"18-5032",2018,0,0
"18-5033",2018,0,0
"18-5034",2018,0,0
"18-5035",2018,0,0
"18-5036",2018,0,0
"18-5037",2018,0,0
"18-5038",2018,0,0
"18-5039",2018,0,0
"18-504",2018,0,0
"18-5040",2018,0,0
"18-5041",2018,0,0
"18-5042",2018,0,0
"18-5043",2018,0,0
"18-5044",2018,0,0
"18-5045",2018,0,0
"18-5046",2018,0,0
"18-5047",2018,0,0
"18-5048",2018,0,0
"18-5049",2018,0,0
"18-505",2018,0,0
"18-5050",2018,0,0
"18-5051",2018,0,0
"18-5052",2018,0,0
"18-5053",2018,0,0
"18-5054",2018,0,0
"18-5055",2018,0,0
"18-5056",2018,0,0
"18-5057",2018,0,0
"18-5058",2018,0,0
