attorney,total_arguments_OT24,gender,repeat_attorney,total_SCOTUS_arguments,law_school,ivy,scotus_clerk,firm,SG_experience,oyez_link,OT24_Cases
Malcolm L. Stewart,3,,1,110,Harvard Law School (can't confirm),,,"Office of the Solicitor General, U.S. DOJ",,,"Nuclear Regulatory Commission, et al. v. Texas, et al.; Environmental Protection Agency v. Calumet Shreveport Refning, L.L.C., et al.; Oklahoma, et al. v. Environmental Protection Agency, et al."
Masha G. Hansford,2,,1,9,Stanford Law School,,,"Office of the Solicitor General, U.S. DOJ",,,Tony R. Hewitt v. United States; and Corey Deyon Duffey and Jarvis Dupree Ross v. United States (for respondent in support of petitioners); Edgardo Esteras v. United States
Matthew D. McGill,2,,1,5,Stanford Law School,,John Roberts,"Gibson, Dunn & Crutcher LLP",,,"Gary Waetzig v. Halliburton Energy Services, Inc.; CC/Devas (Mauritius) Limited, et al. v. Antrix Corp. Ltd., et al."
Matthew Guarnieri,2,,1,13,Columbia Law School,,Ruth Bader Ginsburg (can't verify),"Office of the Solicitor General, U.S. DOJ",,,"McLaughlin Chiropractic Associates, Inc. v. McKesson Corporation, et al. (for United States, as amicus curiae); Danny Richard Rivers v. Eric Guerrero, Director, Texas Department of Criminal Justice, Correctional Institutions Division (for United States, as amicus curiae)"
Matthew W.H. Wessler,1,,1,5,Cornell Law School,,,Gupta Wessler PLLC,,,"McLaughlin Chiropractic Associates, Inc. v. McKesson Corporation, et al."
Melanie L. Bostwick,1,,1,2,Harvard Law School,,,"Orrick, Herrington & Sutcliffe LLP",,,"Joshua E. Bufkin v. Denis R. McDonough, Secretary of Veterans Affairs"
Melissa Arbus Sherry,1,,1,12,UVA,,John Paul Stevens,Latham & Watkins LLP,,,"Advocate Christ Medical Center, et al. v. Xavier Becerra, Secretary of Health and Human Services"
Michael B. Kimberly,1,,1,9,Yale Law School,,,Winston & Strawn LLP,,,Tony R. Hewitt v. United States; and Corey Deyon Duffey and Jarvis Dupree Ross v. United States.
Michael H. McGinley,3,,0,3,Harvard Law School,,Samuel Alito,Dechert LLP,,,"Tony R. Hewitt v. United States; and Corey Deyon Duffey and Jarvis Dupree Ross v. United States (for Court-appointed amicus curiae in support of judgment below); BLOM Bank SAL v. Michal Honickman, et al.; St. Isidore of Seville Catholic Virtual School v. Gentner Drummond, Attorney General of Oklahoma, ex rel. Oklahoma"
Michael J. Radine,1,,0,1,Columbia Law School,,,Osen LLC,,,"BLOM Bank SAL v. Michal Honickman, et al."
Michael R. Huston,2,,1,11,University of Michigan Law School,,John Roberts,Perkins Cole LLP,,,"Environmental Protection Agency v. Calumet Shreveport Refning, L.L.C., et al.; Donte Parrish v. United States (for Court-appointed amicus curiae in support of judgment below on Question 1)"
Misha Tseytlin,1,,1,4,Georgetown University Law Center,,Anthony Kennedy,Troutman Pepper Hamilton Sanders LLP,,,"PacifCorp, et al. v. Environmental Protection Agency, et al."
Mitchell R. Berger,1,,0,1,Harvard University,,,Squire Patton Boggs LLP,,,"Miriam Fuld, et al. v. Palestine Liberation Organization, et al."
Mithun Mansinghani,1,,1,2,Harvard Law School,,,Lehotsky Keller Cohn LLP,,,"Oklahoma, et al. v. Environmental Protection Agency, et al."
Nathaniel A.G. Zelinsky,1,,0,1,Yale Law School,,,Milbank LLP,,,"Janice Hughes Barnes... v. Roberto Felix, Jr., et al."
Neal Kumar Katyal,1,,1,52,Yale Law School,,Stephen Breyer,Hogan Lovells US LLP,,,"NVIDIA Corporation, et al. v. E. Ohman J:or Fonder AB, et al."
Nicholas S. Crown,1,,0,1,Yale Law School,,Sonia Sotomayor,"Office of the Solicitor General, U.S. DOJ",,,"Dewberry Group, Inc., fka Dewberry Capital Corporation v. Dewberry Engineers Inc. (for United States, as amicus curiae)"
Nicole A. Saharsky,2,,1,33,University of Minnesota Law School,,,Mayer Brown LLP,,,"Casey Cunningham, et al. v. Cornell University, et al.; Eunice Medina... v. Planned Parenthood South Atlantic, et al."
Nicole F. Reaves,2,,1,9,Yale Law School,,Clarence Thomas,"Office of the Solicitor General, U.S. DOJ",,,"Nick Feliciano v. Department of Transportation; A. J. T., By and Through Her Parents... v. Osseo Area Schools, Independent School District No. 279, et al. (for United States, as amicus curiae)"
Noel J. Francisco,2,,1,24,University of Chicago Law School,,Antonin Scalia,Jones Day,,,"Smith & Wesson Brands, Inc., et al. v. Estados Unidos Mexicanos; Laboratory Corporation of America Holdings... v. Luke Davis, et al."
Patrick M. Jaicomo,1,,1,2,University of Chicago Law School,,,Institute for Justice,,,"Curtrina Martin, Individually and as Parent and Next Friend of G. W., a Minor, et al. v. United States, et al."
Paul D. Clement,3,,1,116,Harvard Law School,,Antonin Scalia,Clement & Murphy PLLC,,,"Richard Eugene Glossip v. Oklahoma (for respondent in support of petitioner); Seven County Infrastructure Coalition, et al. v. Eagle County, Colorado, et al.; Federal Communications Commission, et al. v. Consumers' Research, et al. (for petitioners in 24-422)"
Peter A. Bruland,1,,0,1,Harvard Law School,,,Sidley Austin LLP,,,"Danny Richard Rivers v. Eric Guerrero, Director, Texas Department of Criminal Justice, Correctional Institutions Division"
Peter A. Patterson,1,,0,1,Stanford Law School,,,"Cooper & Kirk, PLLC",,,"Merrick B. Garland, Attorney General, et al. v. Jennifer VanDerStok, et al."
R. Trent McCotter,1,,0,1,University of North Carolina School of La,,,Boyden Gray & Associates PLLC,,,"Federal Communications Commission, et al. v. Consumers' Research, et al."
Roman Martinez,1,,1,15,Yale Law School,,John G. Roberts,Latham & Watkins LLP,,,"A. J. T., By and Through Her Parents... v. Osseo Area Schools, Independent School District No. 279, et al."
Ryan J. Watson,1,,0,1,George Washington University Law School,,Samuel Alito,Jones Day,,,"Food and Drug Administration, et al. v. R.J. Reynolds Vapor Co., et al."
Samir Deger-Sen,1,,1,2,Yale Law School,,Anthony Kennedy,Latham & Watkins LLP,,,"Amina Bouarfa v. Alejandro Mayorkas, Secretary of Homeland Security, et al."
Sarah M. Harris,3,,1,8,Harvard Law School,,Clarence Thomas,"Office of the Solicitor General, U.S. DOJ",,,"CC/Devas (Mauritius) Limited, et al. v. Antrix Corp. Ltd., et al. (for United States, as amicus curiae supporting petitioners); Federal Communications Commission, et al. v. Consumers' Research, et al.; Tamer Mahmoud, et al. v. Thomas W. Taylor, et al. (for United States, as amicus curiae)"
Seth P. Waxman,2,,1,87,Yale Law School,,,Wilmer Cutler Pickering Hale and Dorr LLP,,,"Richard Eugene Glossip v. Oklahoma; Environmental Protection Agency v. Calumet Shreveport Refning, L.L.C., et al. (for Growth Energy and Renewable Fuels Association in support of petitioner)"
Shay Dvoretzky,2,,1,21,Yale Law School,,Antonin Scalia,"Skadden, Arps, Slate, Meagher & Flom LLP",,,"Republic of Hungary, et al. v. Rosalie Simon, et al.; Commissioner of Internal Revenue v. Jennifer Zuch"
Sopan Joshi,3,,1,13,Stanford Law School,,Antonin Scalia; Samuel Alito,"Office of the Solicitor General, U.S. DOJ",,,"Joshua E. Bufkin v. Denis R. McDonough, Secretary of Veterans Affairs; Republic of Hungary, et al. v. Rosalie Simon, et al. (for United States, as amicus curiae); Laboratory Corporation of America Holdings... v. Luke Davis, et al. (for United States, as amicus curiae)"
Stephen J. Hammer,1,,0,1,Harvard Law School,,John Roberts,"Gibson, Dunn & Crutcher LLP",,,"Pierre Yassue Nashun Riley v. Pamela Bondi, Attorney General (for Court-appointed amicus curiae in support of the judgment below)"
Stuart C. Naifeh,1,,0,1,Columbia Law School,,,"NAACP Legal Defense and Educational Fund, Inc.",,,"Press Robinson, et al. v. Phillip Callais, et al."
T. Elliot Gaiser,1,,0,1,University of Chicago Law School,,Samuel Alito,Office of the Ohio Solicitor General,,,Marlean A. Ames v. Ohio Department of Youth Services
Tacy F. Flint,1,,0,1,University of Chicago Law School,,Stephen Breyer,Sidley Austin LLP,,,Simon A. Soto... v. United States
Tara M. Steeley,1,,0,1,UC Berkeley,,,"City Attorney's Office, San Francisco",,,"City and County of San Francisco, California v. Environmental Protection Agency"
Tejinder Singh,1,,1,3,Harvard Law School,,,"Goldstein & Russell, P.C.",,,"Wisconsin Bell, Inc. cv. United States, ex rel. Heath"
Thomas G. Hungar,1,,1,28,Yale Law School,,Anthony Kennedy,"Gibson, Dunn & Crutcher LLP",,,"Dewberry Group, Inc., fka Dewberry Capital Corporation v. Dewberry Engineers Inc."
Vincent Levy,1,,1,2,Columbia Law School,,Ruth Bader Ginsberg,Holwell Shuster & Goldberg LLP,,,"Gary Waetzig v. Halliburton Energy Services, Inc."
Vivek Suri,2,,1,11,"University of California, Berkeley, School of Law (can't verify)",,,"Office of the Solicitor General, U.S. DOJ",,,"No case number provided, but listed as ""Assistant to the Solicitor General..."" for a case ending "". Certiorari to the C. A. 7th Circuit.""; Food and Drug Administration, et al. v. R.J. Reynolds Vapor Co., et al."
William F. Cole,1,,0,1,University of Texas School of Law,,,Office of the Texas Solicitor General,,,"Ruben Gutierrez v. Luis Saenz, et al."
William M. Jay,1,,1,18,Harvard Law School,,Antonin Scalia,Goodwin Procter LLP,,,"Seven County Infrastructure Coalition, et al. v. Eagle County, Colorado, et al."
Xiao Wang,2,,0,2,Yale Law School,,,University of Virginia Law School,,,"Casey Cunningham, et al. v. Cornell University, et al. (for United States, as amicus curiae); Marlean A. Ames v. Ohio Department of Youth Services (for United States, as amicus curiae)"
Yaira Dubin,2,,1,6,Harvard Law School,,Elena Kagan,"Office of the Solicitor General, U.S. DOJ",,,"United States v. David L. Miller; Casey Cunningham, et al. v. Cornell University, et al. (for United States, as amicus curiae)"
Zoe A. Jacoby,1,,0,1,Yale Law School,,Brett Kavanaugh,"Office of the Solicitor General, U.S. DOJ",,,"Janice Hughes Barnes... v. Roberto Felix, Jr., et al. (for United States, as amicus curiae)"
